price,bedrooms,bathrooms,sqft_living,sqft_above
315000,2,1,630,630
590000,4,2.75,2910,1780
378500,4,1.75,1700,850
328500,3,2.5,1950,1950
849950,3,3,2990,2990
525000,3,1.5,1350,900
1.39E+06,4,3.25,4860,4860
295000,4,2.5,2160,1460
1.07E+06,6,3.5,4860,3860
207950,2,2,890,890
699900,4,2.75,2810,2810
1.28E+06,5,2.5,3400,3400
452000,4,1.5,1580,960
370000,3,2,1680,1680
232000,3,1.75,1300,1300
669950,5,2.5,2820,2380
397500,3,2,1510,1070
490000,2,2.5,1230,870
725000,4,2,2110,1710
299000,3,2.75,3080,1610
625000,2,1.5,1490,1190
437500,3,2.5,2120,2120
650000,4,2.5,3180,3180
475000,2,1,1490,860
342000,3,2,1930,1930
1.20E+06,4,2.5,2770,2770
280000,3,1.5,1670,1670
240000,2,1.75,1330,1330
529000,3,1,1210,1210
442000,3,1,1190,1030
615000,2,1,1540,820
1.49E+06,4,3.75,4030,4030
585000,4,1.75,2430,1580
480000,4,2.5,2600,2600
1.10E+06,5,3.5,4410,4410
290000,4,1,1330,1330
615000,3,1.75,1900,950
300000,2,1,1100,1100
308000,3,1,1980,1580
750000,3,2.5,2400,2400
2.25E+06,4,2.25,4760,3390
890000,4,3.25,3180,3180
288000,3,1,1190,1190
190000,2,1,630,630
515000,5,3,2530,1520
235000,4,1.5,1690,1690
275000,2,1,940,940
727500,2,2,1240,1240
650000,4,2.5,3040,3040
1.60E+06,6,5,6050,6050
365000,4,1,1590,1590
662000,3,1.75,2500,2500
270500,3,2.5,1780,1320
200000,2,1.5,1360,1360
970000,4,3.25,4740,4740
160000,3,1.5,1010,1010
204000,3,1,1040,1040
358000,3,2.25,1610,1610
452000,4,1.75,1570,1570
595000,2,2,1510,1010
249000,3,2,1360,1360
346900,4,2.5,1970,1970
2.13E+06,3,2.5,5403,5403
280000,4,2.5,1560,1560
318888,4,1.75,2320,2270
530000,3,2.25,2120,2120
375000,3,2.25,2120,2120
910000,4,2.5,3350,3350
782000,4,2.5,2380,2380
259950,2,2,1070,720
315000,4,2.75,2300,1560
215000,2,1,1320,1320
705000,3,1.75,2180,1140
1.45E+06,3,3,4380,3580
451000,3,1.75,1790,1790
261000,2,1,750,750
396000,3,1.5,1300,1300
725000,4,2.5,2990,2990
1.95E+06,7,3.5,4640,2860
238000,4,1,1400,1400
750000,6,1.75,2750,2750
331500,4,2.5,2050,2050
460000,4,3,2230,1410
404950,4,2.25,2340,2340
880000,3,2.5,2870,2870
863000,4,2.5,4120,4120
638700,3,1.75,2080,1370
435000,3,2.5,1840,1840
260000,3,1,1180,1180
671500,5,2.75,2160,1530
610000,3,1,1180,1180
405000,2,0.75,1160,870
338900,4,2.5,1830,1830
720000,4,4,3200,3200
442000,5,3,2560,1760
650000,5,2.75,2550,2550
263500,3,1.75,1330,1040
300000,2,1,1220,1220
266000,3,2.5,1805,1805
930000,4,4,6050,4150
530000,4,2.5,2320,2320
180000,3,1,1384,1384
619000,3,2.5,2720,2720
264000,3,1.5,1820,1820
730000,2,2.25,2130,1530
439000,4,2.25,2060,2060
268500,4,1.75,1420,1080
330000,3,1.75,1510,1510
640000,3,2.5,2160,1960
900000,3,2.5,3180,3180
370000,3,2.25,2110,2110
685000,3,2,2060,1330
505000,3,1.5,1830,1010
265000,3,1.75,1820,1820
290000,3,2.5,1610,1610
296000,4,2.5,1780,1780
360000,4,2.5,1840,1840
240500,3,1.75,1460,990
372500,2,2.5,1400,1400
595000,3,2.5,3370,3370
515000,4,3,3590,3590
1.22E+06,4,2.25,3200,3200
507000,2,1.75,1670,1670
399950,4,2,2420,2420
185000,3,1.75,1430,1430
460000,3,1.75,1440,1440
435500,3,2.25,1450,1450
469000,4,2.75,3550,2100
531000,2,3,1270,1110
443500,2,1,940,940
223000,3,2,1670,1300
590000,4,3.5,3100,2400
340000,2,2.5,1100,1100
650000,3,2,1870,1230
533600,3,2.5,1930,1930
695000,3,2.75,2540,2540
242000,3,1.75,1280,1280
425000,3,2.25,1820,1280
525000,3,2.25,1490,1490
485000,3,2.5,1880,1880
175000,3,1,1250,1250
210000,3,2,1440,1440
260000,3,2.5,1920,1920
577000,3,2.5,2060,1330
200000,3,1.5,1210,1210
605000,2,1.75,1760,940
325000,3,1,990,990
289500,3,1,960,820
559950,3,2.5,1660,1660
1.04E+06,3,1.75,1900,1330
543500,3,2.25,1270,990
480000,4,2.25,3250,3250
218000,3,1,960,960
565000,2,1.75,1330,960
426700,3,1.75,2080,1600
650000,3,2.5,2690,2130
542000,2,1,890,770
415000,3,1.75,1070,1070
214000,3,1,1200,1200
245000,3,1.5,1360,1360
314500,3,2,2050,2050
1.12E+06,3,1.5,3000,2000
378000,2,2,1300,800
305000,4,2.5,2250,1340
595000,5,2.75,3740,1980
729500,3,2.5,1660,1530
430000,3,2.5,2360,2360
240000,3,1.75,1760,1150
545000,3,1.75,1680,1680
530000,3,1.75,1320,870
157000,1,1,870,870
425000,4,1,1260,1260
220000,3,1,1000,1000
521000,4,1.75,2020,1550
325000,3,1,1920,1120
597500,3,2,2150,1380
337000,3,2.5,1470,1470
1.00E+06,3,2.5,3180,3180
3.07E+06,3,2.5,3930,2330
495000,3,1,990,990
748000,4,3.5,2770,1970
888000,3,1.5,1250,1250
269900,3,1.75,1140,1140
496500,4,2.5,2250,1550
475000,3,2.5,1640,1640
312000,3,1.5,1255,1255
323000,3,1,1290,1290
331000,3,1.75,1300,1300
306000,3,1.5,1220,1220
655000,4,2.5,2630,2630
290000,3,1.5,1950,1950
1.25E+06,4,3.25,3160,2360
460000,3,1.75,1550,860
435000,4,2.5,1700,850
664000,4,2.75,2510,1630
865000,4,1.75,1800,1800
385000,3,1.75,1800,1200
497000,3,2.25,1870,1350
280000,2,1,1010,1010
188000,2,1.5,1120,1120
478500,3,1,2090,1200
1.15E+06,4,3.5,4370,4370
222000,3,2,1440,970
799000,4,3,2580,2580
609900,4,2.5,3190,3190
413000,4,3.5,2380,1750
400000,4,1,1420,1420
802541,5,2.75,2990,2990
320000,3,2.5,2680,2680
507000,4,2.5,2730,2730
387500,3,1,1220,1220
396000,3,1,1500,1500
373000,3,1.75,1830,1430
1.48E+06,5,2.5,4570,4570
359900,4,2.25,2470,2470
410000,2,1,800,670
690000,4,2.5,2900,2900
245000,3,2,1410,1410
700000,5,2.5,2830,1610
268000,4,1.75,1680,1100
225000,3,1.75,1760,920
980000,4,2.25,2240,2240
795000,2,1,1380,1380
195000,2,1,820,820
480000,4,2,2180,1730
485000,4,2,1400,1100
130000,2,1,880,880
325000,2,1,1060,1060
440000,3,1.75,1530,1530
550000,4,1.75,2480,1460
310000,3,1.75,1490,1490
530000,3,2.5,3660,3260
390000,4,2.5,2340,2340
243000,3,1.75,1450,1450
639000,4,2.5,2210,2210
215000,4,1,1130,1130
405000,5,1.75,1550,1100
250000,4,1.75,1710,1010
405500,3,1.5,1010,1010
452000,6,2.25,2660,2660
730000,6,2.25,2660,2660
267000,3,2,1300,1300
289950,3,2.5,1670,1670
565000,2,1,960,960
1.58E+06,4,3.25,4670,4670
636000,3,2.5,2140,1770
350000,5,3,2520,1550
320000,3,1.5,1650,1130
210000,2,1.75,1440,1440
245000,2,1,1050,1050
328000,3,1.75,1470,1130
985000,4,2.25,4230,4230
501000,3,1.75,1970,1370
315000,3,2.25,1540,1540
403000,3,2.75,2090,2090
550000,3,2,2380,2110
347500,4,2.5,2156,2156
365000,4,2.25,2070,2070
588000,3,1,1910,1270
605000,3,1.75,1920,1260
1.30E+06,3,3.25,3400,2290
233000,3,2,1400,1400
360000,4,2.5,2210,2210
459000,2,1.75,1170,1020
740000,3,2,2100,2100
305000,3,1,1160,1160
395000,3,1,1500,900
560000,4,2.5,2940,2940
650000,4,1.75,2010,1300
449950,3,2.5,2170,2170
517500,3,1.5,1430,1250
435000,4,1.5,1510,1070
329999,3,1,1150,800
950000,3,1.75,2150,1140
447000,3,1,1370,1230
699800,2,2.5,2380,2380
850000,3,1.75,1370,770
316500,3,1.75,1600,1070
942500,5,3.5,3750,2030
1.31E+06,2,2.25,3950,2910
856600,4,2.25,2400,2400
405600,5,1.5,2830,2830
565000,4,2.5,2440,2440
400000,3,2.25,1190,1050
330000,3,2,1400,1400
374950,4,2.75,2730,2730
405300,3,2.75,2390,1610
560000,3,2.25,2060,2060
824000,4,2.25,2490,1290
260000,3,1.75,1100,1100
760000,4,2.5,2430,1470
405000,3,2.5,3170,2360
429900,4,2.5,2640,2640
341500,3,1.5,1130,1130
465250,5,2,1940,1940
450000,2,2,1100,1100
390000,3,1,1200,1200
420000,3,2.25,2000,1000
269950,3,2.5,1890,1730
493000,4,2,1910,1060
370000,4,2.5,2710,2710
2.25E+06,5,4.25,4860,3100
305000,3,1,1250,1250
400000,3,1.75,1590,970
320000,3,1.5,1240,1050
715000,4,1,2000,2000
650000,6,2.75,3610,3610
218000,5,1.75,1930,1930
500000,2,1,1280,1280
460000,4,2,2090,2090
232500,3,1.5,1940,1140
408200,3,2.5,1800,1800
522000,3,1.75,1730,1400
675000,4,2.5,2810,2810
1.36E+06,4,3.5,3550,2260
249950,4,1,1330,1330
210000,2,1,750,750
429950,4,1,1760,1090
737500,4,2.5,3200,3200
710000,4,2,1740,1740
470000,3,2.5,2100,2100
1.10E+06,4,3.5,4270,4270
650000,3,2,1340,1340
1.22E+06,4,2.5,3190,1680
422120,3,2.5,1630,1630
625000,5,2.5,2990,2990
385200,4,1,1550,1550
500000,3,2.25,1690,1690
308000,4,2.25,1960,1960
565000,3,2.75,2390,1360
581000,3,2.5,2600,2600
361000,3,2,1950,1950
345000,3,1,1250,1250
419000,2,2.25,1180,840
347000,3,2.5,1680,1680
625000,4,2.25,2220,2220
2.40E+06,4,4.25,4890,3090
379000,3,3.25,2660,2660
310000,3,1.5,1150,1150
250000,2,2,1130,1130
682000,5,2.75,2760,2760
246500,3,2,1430,1430
325000,3,1,1490,1490
310950,4,2.5,2030,2030
1.10E+06,3,2,3010,1890
287500,3,1,1810,1130
431000,3,1,1810,1130
226000,3,1,970,970
825000,3,1.75,2010,1510
175000,4,1,1300,1300
465750,3,1.5,1260,1260
659000,4,2.25,2610,2610
595000,3,1.75,1910,1110
350000,3,2.25,1780,1780
270000,4,2.25,1900,1900
662500,6,2.25,2450,1340
249900,3,1.75,1380,1380
324500,3,1.75,1920,1230
430000,2,1.75,1350,1350
419950,2,1.75,1350,1350
285000,4,1.75,2510,1290
332000,4,2.5,2470,2470
282000,4,1.75,1660,960
320000,3,1,1340,940
428750,3,1,1620,1620
330000,3,2.25,2300,2300
456500,4,3.5,2000,2000
352000,3,2.25,1640,1640
664000,4,2,1530,1530
628000,3,1.75,4000,2190
512000,3,1.75,1610,1080
254000,3,2,2070,1450
535800,4,2.5,1900,1900
287653,3,1,1050,1050
438000,3,2.5,1520,1180
450000,4,1.75,2390,1750
327000,5,2.75,2400,2400
370500,4,2.5,1790,1790
265000,3,2.5,1720,1720
450000,4,2.75,2980,1800
425000,3,1,1520,1520
166600,3,1.75,1150,1150
245000,1,0.75,380,380
565000,3,1,910,910
539900,3,1.75,1650,1230
910000,3,3.5,2480,2480
280000,4,2.5,2050,2050
275000,3,2.25,1420,1420
467000,3,2.5,3460,3460
457500,3,2.5,1500,1500
381156,2,1,1320,1320
289999,5,2.5,2180,1220
642450,3,1.75,1830,1230
469950,3,2.25,1620,1220
795000,3,2,2920,1460
785000,4,2.5,3300,3300
860000,3,2.25,3060,3060
1.10E+06,0,0,3064,3064
147500,3,1,1530,1530
390000,3,2,1910,1410
229000,3,1,1020,1020
185000,3,1,1150,1150
414900,3,1.5,1260,870
200000,4,2,1920,920
225000,4,2.25,1800,1800
720000,3,1.75,2040,1360
930000,4,2.5,2200,1430
1.27E+06,5,2.5,3200,2160
700000,5,3.25,2400,1780
466000,2,1.5,1140,1140
374000,3,1.5,1330,1330
480000,3,2.5,1940,1940
740000,3,2.5,3000,3000
1.01E+06,4,1,1820,1820
395000,4,2.5,2910,2910
340000,2,1,1090,1090
209000,3,2,1230,1020
431650,5,2.5,1710,1710
980000,5,2.5,3160,1780
660000,3,2.5,2680,2680
730000,4,2.25,2190,1840
291500,3,1.75,1260,1260
905000,4,3.5,2970,2340
800000,4,2.5,2570,2570
839900,4,3.5,3810,2560
200000,1,1.5,1010,950
300000,3,2,1480,1080
530000,3,1.75,1250,1250
314950,3,2.25,1654,1654
255000,3,1.75,1410,1410
550000,5,2.75,2160,1500
435000,3,1,1400,700
234000,3,1.75,1420,1420
615000,4,2.25,2500,1600
205000,3,2,1410,1410
384000,4,1.75,2100,1050
324000,3,2.5,1750,1750
645000,3,1.75,2070,1130
570000,3,3.25,1570,1260
324000,3,2.5,1920,1920
270000,2,1,1000,1000
290000,5,1.5,2120,2120
250000,3,2,1440,1440
342000,3,1.75,1660,1660
255000,3,1.5,1340,1340
800000,3,2.25,2380,1450
451000,3,1.75,1560,1000
990000,4,2.5,2780,1390
288400,4,2.5,1860,1220
420000,3,1.5,2390,1750
359000,2,2.75,1370,1080
390000,4,3,2570,1420
300000,3,2.5,1320,1320
545000,5,2.5,2520,1500
288349,3,1,1250,1250
299900,3,2.25,1560,1290
891000,4,2,2330,1720
1.20E+06,3,2,3660,1830
378000,4,2.5,2790,2790
299995,2,1,1060,1060
253000,3,2.5,2020,1310
350000,3,2.25,1580,1580
565000,4,3,2020,2020
315000,2,1,970,970
570000,4,3,1490,1490
971000,5,3.5,4390,3350
915000,5,2.5,2750,1840
419000,4,1.5,2150,2150
260000,4,1.75,1810,1230
1.32E+06,3,3,2230,2230
369950,3,1,2430,2430
1.03E+06,3,2.5,3680,3680
435000,5,1,1410,1410
601000,3,1.75,1330,1330
460500,3,1,1490,1150
720000,3,2.5,2020,2020
851000,4,2.5,3130,3130
550000,4,3,2670,2670
700000,4,1,1980,1980
323000,3,1.75,2100,2100
345500,3,1,1350,1350
378000,4,1.5,2140,1190
650000,4,2,2208,2208
385000,3,2,1010,1010
425000,2,1,970,970
210000,4,2,1520,1520
